epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,20442.3,0.57668,0.36419,0.96916,0.98442,0.98386,0.99143,0.90424,0.44477,0.27735,0.86475,0.000297125,0.000297125,0.000297125
156,20559.5,0.57164,0.35379,0.98125,0.98216,0.9838,0.98979,0.90828,0.42925,0.26078,0.84951,0.000290937,0.000290937,0.000290937
157,20698.3,0.571,0.36057,0.97247,0.98153,0.9833,0.99034,0.90347,0.44482,0.27076,0.85281,0.00028475,0.00028475,0.00028475
158,20838.3,0.56917,0.35804,0.97789,0.98096,0.98277,0.98898,0.90089,0.44302,0.27173,0.85801,0.000278562,0.000278562,0.000278562
159,20956.2,0.55861,0.34598,0.96248,0.97658,0.98144,0.97977,0.9044,0.43393,0.27791,0.85034,0.000272375,0.000272375,0.000272375
160,21095.6,0.56316,0.34612,0.96984,0.98172,0.9838,0.98325,0.90554,0.4109,0.27276,0.84024,0.000266187,0.000266187,0.000266187
161,21215.9,0.56793,0.34878,0.97284,0.97911,0.9838,0.9843,0.90445,0.40689,0.27274,0.84222,0.00026,0.00026,0.00026
162,21354.3,0.54163,0.32998,0.95331,0.97494,0.9819,0.9799,0.89947,0.41779,0.28015,0.84654,0.000253812,0.000253812,0.000253812
163,21490.7,0.55726,0.35573,0.97654,0.97941,0.9819,0.98582,0.9107,0.4261,0.28451,0.84836,0.000247625,0.000247625,0.000247625
164,21627.5,0.55264,0.35096,0.96395,0.98215,0.9838,0.98899,0.91521,0.42439,0.28012,0.8472,0.000241438,0.000241438,0.000241438
165,21765.1,0.54929,0.34205,0.96367,0.98433,0.98481,0.98976,0.8959,0.45829,0.26242,0.8661,0.00023525,0.00023525,0.00023525
166,21901.8,0.5354,0.33442,0.95934,0.98379,0.9838,0.98817,0.90747,0.42478,0.26215,0.84904,0.000229063,0.000229063,0.000229063
167,22037.5,0.5505,0.34483,0.97061,0.98426,0.9838,0.98735,0.88857,0.46076,0.27305,0.86377,0.000222875,0.000222875,0.000222875
168,22173.7,0.53704,0.35546,0.96125,0.98538,0.98584,0.98718,0.89717,0.42761,0.2562,0.85277,0.000216688,0.000216688,0.000216688
169,22311.1,0.54934,0.34465,0.96521,0.98609,0.98494,0.98902,0.90195,0.43547,0.25125,0.8578,0.0002105,0.0002105,0.0002105
170,22446.8,0.56008,0.35449,0.97916,0.98447,0.9838,0.98972,0.91064,0.41833,0.25998,0.84614,0.000204313,0.000204313,0.000204313
